sentence_id,has_english,en_tokens,total_tokens,en_ratio
1,True,1,11,0.09090909090909091
2,True,1,11,0.09090909090909091
3,True,2,7,0.2857142857142857
4,True,2,9,0.2222222222222222
5,True,1,6,0.16666666666666666
6,True,4,16,0.25
7,True,2,7,0.2857142857142857
8,True,1,10,0.1
9,True,1,9,0.1111111111111111
10,True,2,12,0.16666666666666666
11,True,1,16,0.0625
12,True,2,11,0.18181818181818182
13,True,1,5,0.2
14,True,3,17,0.17647058823529413
15,True,2,19,0.10526315789473684
16,True,2,10,0.2
17,True,2,9,0.2222222222222222
18,True,1,11,0.09090909090909091
19,True,3,9,0.3333333333333333
20,True,1,6,0.16666666666666666
21,True,1,6,0.16666666666666666
22,True,1,7,0.14285714285714285
23,False,0,5,0.0
24,True,1,6,0.16666666666666666
25,True,1,9,0.1111111111111111
26,True,2,9,0.2222222222222222
27,True,1,11,0.09090909090909091
28,True,3,15,0.2
29,True,1,13,0.07692307692307693
30,True,1,6,0.16666666666666666
31,True,2,11,0.18181818181818182
32,True,1,14,0.07142857142857142
33,True,1,8,0.125
34,True,1,11,0.09090909090909091
35,True,2,22,0.09090909090909091
36,True,1,8,0.125
37,True,3,15,0.2
38,True,1,7,0.14285714285714285
39,True,1,8,0.125
40,True,6,40,0.15
41,True,3,21,0.14285714285714285
42,True,2,22,0.09090909090909091
43,True,2,5,0.4
